Approach;Coverage;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000;1010;1020;1030;1040;1050;1060;1070;1080;1090;1100;1110;1120;1130;1140;1150;1160;1170;1180;1190;1200;1210;1220;1230;1240;1250;1260;1270;1280;1290;1300;1310;1320;1330;1340;1350;1360;1370;1380;1390;1400;1410;1420;1430;1440
Baseline;Instructions;0;0;0;0;0;0;0,3;0,3;0,3;0,3;0,3;0,3;0,33;0,33;0,33;0,33;0,33;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,45;0,45;0,45;0,45;0,45;0,45;0,45;0,45;0,45;0,45;0,45;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,48;0,48;0,48;0,48;0,48;0,48;0,48;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51
Baseline;Branches;0;0;0;0;0;0;0,13;0,13;0,13;0,13;0,13;0,13;0,15;0,15;0,15;0,15;0,15;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,27;0,27;0,27;0,27;0,27;0,27;0,27;0,27;0,27;0,27;0,27;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31
RETORCH;Instructions;0;0;0;0;0;0;0;0;0;0;0;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,38;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RETORCH;Branches;0;0;0;0;0;0;0;0;0;0;0;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prioritization;Instructions;0;0;0;0;0;0,27;0,27;0,27;0,27;0,27;0,27;0,28;0,28;0,28;0,28;0,28;0,28;0,28;0,28;0,28;0,28;0,28;0,33;0,33;0,33;0,33;0,33;0,33;0,37;0,37;0,37;0,37;0,37;0,45;0,45;0,45;0,45;0,45;0,47;0,47;0,47;0,47;0,47;0,47;0,47;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51
Prioritization;Branches;0;0;0;0;0;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,12;0,12;0,12;0,12;0,12;0,12;0,15;0,15;0,15;0,15;0,15;0,24;0,24;0,24;0,24;0,24;0,26;0,26;0,26;0,26;0,26;0,26;0,26;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31
Reduction;Instructions;0;0;0;0;0;0,271;0,271;0,271;0,271;0,271;0,271;0,281;0,281;0,281;0,281;0,281;0,281;0,281;0,281;0,281;0,281;0,281;0,331;0,331;0,331;0,331;0,331;0,331;0,371;0,371;0,371;0,371;0,371;0,451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reduction;Branches;0;0;0;0;0;0,091;0,091;0,091;0,091;0,091;0,091;0,091;0,091;0,091;0,091;0,091;0,091;0,091;0,091;0,091;0,091;0,091;0,121;0,121;0,121;0,121;0,121;0,121;0,151;0,151;0,151;0,151;0,151;0,241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
$APPROACH - Prioritization;Instructions;0;0;0;0;0;0;0;0;0;0;0,43;0,43;0,43;0,43;0,43;0,43;0,43;0,43;0,43;0,43;0,43;0,43;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;0,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
